method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
single_frame_classifier,78,0.3333333333333333,0.3333333333333333,0.0,0.5794466403162055,0.7051282051282052,0.0,nan,nan,nan,nan,0.0,0.0,0.6923076923076923,0.3076923076923077
passive_multiview_classifier,78,0.6666666666666666,0.6666666666666666,0.0,0.857707509881423,0.7051282051282052,0.8260869565217391,nan,nan,nan,nan,0.19999999999999993,0.9230769230769231,0.8461538461538461,0.23076923076923078
random_intervention,78,0.44871794871794873,0.7142857142857143,0.3717948717948718,0.9454545454545454,0.9230769230769231,0.0,0.19912351713280718,0.35057166238976917,0.004259517873757333,0.6037768117278656,0.1559662013807165,0.5769230769230769,0.7307692307692307,0.038461538461538464
max_baseline_intervention,78,0.5641025641025641,0.8461538461538461,0.3333333333333333,0.9727272727272728,0.9615384615384616,0.0,0.15649326570136546,0.2731135253472243,0.003290023931149435,0.35895401125108495,0.30000000000000004,0.5769230769230769,0.8461538461538461,0.2692307692307692
entropy_nbv,78,0.3974358974358974,0.6888888888888889,0.4230769230769231,0.9090909090909091,0.8717948717948718,0.0,0.1945345715413857,0.33988829979224083,0.004259517873757333,0.6880341880341876,0.08726646259971628,0.5769230769230769,0.5769230769230769,0.038461538461538464
intervene3d_no_hypothesis_conditioning,78,0.0,nan,1.0,0.5,0.2948717948717949,0.0,0.3524458637594517,0.634170869525394,nan,0.6341978206984435,0.04999999999999998,0.0,0.0,0.0
intervene3d_no_abstention,78,0.7307692307692307,0.7307692307692307,0.0,1.0,1.0,0.8695652173913043,0.15441476776550664,0.27321587882958603,1.2454424955730923e-18,0.2862975272102648,0.275,1.0,0.8846153846153846,0.3076923076923077
intervene3d_noisy_encoder,78,0.5769230769230769,0.7894736842105263,0.2692307692307692,0.9454545454545454,0.9743589743589743,0.08695652173913043,0.16478293348519532,0.30193712170067993,0.0054598858292379095,0.295130451261668,0.28141025641025647,0.5769230769230769,0.8846153846153846,0.2692307692307692
intervene3d,78,0.5897435897435898,0.8363636363636363,0.2948717948717949,1.0,1.0,0.0,0.15441476776550664,0.27321587882958603,1.2454424955730923e-18,0.2862975272102648,0.275,0.5769230769230769,0.8846153846153846,0.3076923076923077
