method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
single_frame_classifier,87,0.3333333333333333,0.3333333333333333,0.0,0.49318181818181817,0.632183908045977,0.0,nan,nan,nan,nan,0.0,0.41379310344827586,0.1724137931034483,0.41379310344827586
passive_multiview_classifier,87,0.5632183908045977,0.5632183908045977,0.0,0.7448863636363636,0.632183908045977,0.65625,nan,nan,nan,nan,0.19999999999999996,0.6896551724137931,0.6896551724137931,0.3103448275862069
random_intervention,87,0.367816091954023,0.7111111111111111,0.4827586206896552,0.9090909090909091,0.8850574712643678,0.0,0.26041902335486256,0.4562468046420457,2.710505431213761e-19,0.5264196546499984,0.14874518140800524,0.4827586206896552,0.5862068965517241,0.034482758620689655
max_baseline_intervention,87,0.47126436781609193,0.82,0.42528735632183906,0.9545454545454546,0.9425287356321839,0.0,0.2186192761254147,0.38802844534411696,2.5510639352600105e-19,0.33862958379454366,0.3,0.4827586206896552,0.6896551724137931,0.2413793103448276
entropy_nbv,87,0.3333333333333333,0.6744186046511628,0.5057471264367817,0.8909090909090909,0.8620689655172413,0.0,0.25762505854861956,0.4486679259449454,2.710505431213761e-19,0.6206896551724135,0.09460210182041572,0.4827586206896552,0.4827586206896552,0.034482758620689655
intervene3d_no_hypothesis_conditioning,87,0.0,nan,1.0,0.5,0.367816091954023,0.0,0.3909583256013048,0.6984437564193283,nan,0.6025869870585934,0.04999999999999999,0.0,0.0,0.0
intervene3d_no_abstention,87,0.7011494252873564,0.7011494252873564,0.0,1.0,1.0,0.8125,0.19115115118765436,0.3243199465671176,2.5510639352600105e-19,0.21866998006720942,0.2465517241379311,1.0,0.6896551724137931,0.41379310344827586
intervene3d_noisy_encoder,87,0.5172413793103449,0.8333333333333334,0.3793103448275862,0.990909090909091,0.9885057471264368,0.0,0.19704951627621184,0.3455829259618981,0.0001710035177676777,0.23317543506360267,0.25000000000000006,0.4827586206896552,0.6551724137931034,0.41379310344827586
intervene3d,87,0.5287356321839081,0.8363636363636363,0.367816091954023,1.0,1.0,0.0,0.19115115118765436,0.3243199465671176,2.5510639352600105e-19,0.21866998006720942,0.2465517241379311,0.4827586206896552,0.6896551724137931,0.41379310344827586
