method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
passive_multiview_classifier,90,0.6444444444444445,0.6444444444444445,0.0,0.6560340244550771,0.6333333333333333,0.9393939393939394,nan,nan,nan,nan,0.19999999999999996,0.6666666666666666,0.7666666666666667,0.5
max_baseline_intervention,90,0.5111111111111111,0.8363636363636363,0.3888888888888889,0.9824561403508771,0.9777777777777777,0.0,0.2057521388596136,0.3933607935835119,0.002213592690714959,0.3174343101264794,0.29999999999999993,0.5,0.7666666666666667,0.26666666666666666
intervene3d_sum,90,0.5666666666666667,0.8947368421052632,0.36666666666666664,1.0,1.0,0.0,0.18353201618831222,0.33515718097401914,0.0021553402514856196,0.17116703993457325,0.25333333333333335,0.5,0.7666666666666667,0.43333333333333335
intervene3d_maxmin,90,0.5777777777777777,1.0,0.4222222222222222,0.956140350877193,0.9444444444444444,0.0,0.16197841154305692,0.29914119847906295,0.0022135926907149613,0.21432543858580633,0.17500000000000002,0.5,0.7,0.5333333333333333
intervene3d_maxmin_forced,90,0.7666666666666667,0.7666666666666667,0.0,0.956140350877193,0.9444444444444444,0.5454545454545454,0.16197841154305692,0.29914119847906295,0.0022135926907149613,0.21432543858580633,0.17500000000000002,1.0,0.7666666666666667,0.5333333333333333
