method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
single_frame_classifier,90,0.3333333333333333,0.3333333333333333,0.0,0.39872408293460926,0.6333333333333333,0.0,nan,nan,nan,nan,0.0,0.5,0.13333333333333333,0.36666666666666664
passive_multiview_classifier,90,0.6444444444444445,0.6444444444444445,0.0,0.6560340244550771,0.6333333333333333,0.9393939393939394,nan,nan,nan,nan,0.19999999999999996,0.6666666666666666,0.7666666666666667,0.5
random_intervention,90,0.2777777777777778,0.5319148936170213,0.4777777777777778,0.9122807017543859,0.8888888888888888,0.0,0.2664224753827863,0.5348074826822629,0.021582199710954028,0.5777620049652602,0.12487736092549095,0.4,0.4,0.03333333333333333
max_baseline_intervention,90,0.5,0.8333333333333334,0.4,0.9736842105263158,0.9666666666666667,0.0,0.21334811807812587,0.4094127204451956,0.0046946610344223635,0.3174343101264794,0.29999999999999993,0.5,0.7666666666666667,0.23333333333333334
entropy_nbv,90,0.18888888888888888,0.3695652173913043,0.4888888888888889,0.9035087719298246,0.8777777777777778,0.0,0.35257951504268437,0.7314701078075225,0.037154790951356716,0.607407407407407,0.08726646259971627,0.3333333333333333,0.16666666666666666,0.06666666666666667
intervene3d_no_hypothesis_conditioning,90,0.0,nan,1.0,0.5,0.36666666666666664,0.0,0.4044427277054096,0.7909507557007427,nan,0.5769136523591638,0.04999999999999999,0.0,0.0,0.0
intervene3d_no_abstention,90,0.7222222222222222,0.7222222222222222,0.0,0.9912280701754386,0.9888888888888889,0.7272727272727273,0.18503691062869881,0.3386889222344521,0.0021553402514856196,0.17116703993457325,0.25333333333333335,1.0,0.7333333333333333,0.43333333333333335
intervene3d_noisy_encoder,90,0.5555555555555556,0.8928571428571429,0.37777777777777777,0.9912280701754386,0.9888888888888889,0.0,0.18908896783367962,0.35680729937720235,0.004166229810040363,0.17990646027877813,0.25333333333333335,0.5,0.7333333333333333,0.43333333333333335
intervene3d,90,0.5444444444444444,0.875,0.37777777777777777,0.9912280701754386,0.9888888888888889,0.0,0.18503691062869881,0.3386889222344521,0.0021553402514856196,0.17116703993457325,0.25333333333333335,0.5,0.7,0.43333333333333335
