method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
passive_multiview_classifier,96,0.65625,0.65625,0.0,0.6951154052603328,0.71875,0.9259259259259259,nan,nan,nan,nan,0.19999999999999998,0.8125,0.84375,0.3125
max_baseline_intervention,96,0.53125,0.7846153846153846,0.3229166666666667,0.9710144927536232,0.9583333333333334,0.0,0.20891228872664033,0.3669725092168585,0.004254271819795169,0.42352489408661126,0.29999999999999993,0.59375,0.84375,0.15625
intervene3d_sum,96,0.5729166666666666,0.7971014492753623,0.28125,1.0,1.0,0.0,0.18476064843139683,0.31803269373805815,0.0,0.3154502418014717,0.2765625,0.59375,0.84375,0.28125
intervene3d_maxmin,96,0.625,1.0,0.375,0.9347826086956522,0.90625,0.0,0.1312587954806138,0.22345078631092682,0.004142317298221612,0.2581638747918519,0.1648291539124823,0.59375,0.6875,0.59375
intervene3d_maxmin_forced,96,0.8125,0.8125,0.0,0.9347826086956522,0.90625,0.5925925925925926,0.1312587954806138,0.22345078631092682,0.004142317298221612,0.2581638747918519,0.1648291539124823,1.0,0.84375,0.59375
