method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
single_frame_classifier,96,0.3333333333333333,0.3333333333333333,0.0,0.4750402576489533,0.71875,0.0,nan,nan,nan,nan,0.0,0.25,0.34375,0.40625
passive_multiview_classifier,96,0.65625,0.65625,0.0,0.6951154052603328,0.71875,0.9259259259259259,nan,nan,nan,nan,0.19999999999999998,0.8125,0.84375,0.3125
random_intervention,96,0.46875,0.75,0.375,0.9347826086956522,0.90625,0.0,0.21012527739178877,0.37030378464585173,0.0,0.5859899394858693,0.15340794891140663,0.59375,0.6875,0.125
max_baseline_intervention,96,0.53125,0.7846153846153846,0.3229166666666667,0.9710144927536232,0.9583333333333334,0.0,0.20891228872664033,0.3669725092168585,0.004254271819795169,0.42352489408661126,0.29999999999999993,0.59375,0.84375,0.15625
entropy_nbv,96,0.4166666666666667,0.7017543859649122,0.40625,0.9130434782608695,0.875,0.0,0.22292185004552012,0.38843894105395105,0.002826753152707308,0.6979166666666662,0.08726646259971627,0.59375,0.59375,0.0625
intervene3d_no_hypothesis_conditioning,96,0.0,nan,1.0,0.5,0.28125,0.0,0.39710978158732946,0.711439489132375,nan,0.6559253501126653,0.049999999999999996,0.0,0.0,0.0
intervene3d_no_abstention,96,0.7083333333333334,0.7083333333333334,0.0,1.0,1.0,0.8888888888888888,0.18476064843139683,0.31803269373805815,0.0,0.3154502418014717,0.2765625,1.0,0.84375,0.28125
intervene3d_noisy_encoder,96,0.5729166666666666,0.7971014492753623,0.28125,1.0,1.0,0.0,0.19016251588396216,0.3376771420263558,9.985703149932538e-05,0.31588623484331374,0.2776041666666666,0.59375,0.84375,0.28125
intervene3d,96,0.5729166666666666,0.7971014492753623,0.28125,1.0,1.0,0.0,0.18476064843139683,0.31803269373805815,0.0,0.3154502418014717,0.2765625,0.59375,0.84375,0.28125
