method,n_runs,seeds,CEA_mean,CEA_std,CEA_ci95,abstain_mean,abstain_std,abstain_ci95,AUROC_mean,AUROC_std,AUROC_ci95,resolv.acc_mean,resolv.acc_std,resolv.acc_ci95,FPCR_mean,FPCR_std,FPCR_ci95,AbsRel_mean,AbsRel_std,AbsRel_ci95,RMSE_mean,RMSE_std,RMSE_ci95,MAE_MCRB_mean,MAE_MCRB_std,MAE_MCRB_ci95,regret_mean,regret_std,regret_ci95,motion_mean,motion_std,motion_ci95
entropy_nbv,4,"[1, 2, 3, 42]",0.37574786324786325,0.03808517182132438,0.06059350836772708,0.4559907346006484,0.04870128934554388,0.07748375134876032,0.9041380625476736,0.0096477772086254,0.01534961353892301,0.8716604037724727,0.0068456540261361085,0.010891435555582548,0.0,0.0,0.0,0.22863276704604962,0.026788418472877436,0.042620373790348,0.4106339800922362,0.05761627620369898,0.09166749544008508,0.002039018884207937,0.0018839776673282144,0.002997408468719189,0.6535119793201685,0.046066964542767555,0.07329254058754318,0.08910037240489113,0.0036678196103497223,0.005835501000066408
intervene3d,4,"[1, 2, 3, 42]",0.5645156388152077,0.025767308566990072,0.040995787930081205,0.3276511383731211,0.04605426490159887,0.0732723354584438,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1784646458932175,0.016377443270261374,0.026056512242985847,0.31268142502719526,0.02724445021472516,0.04334592029162773,0.0005388350628714053,0.0010776701257428096,0.00171457317005681,0.2478961972533798,0.06526802798494452,0.10384143252404673,0.2628618893678161,0.015186126687893717,0.024161127560438905
intervene3d_no_abstention,4,"[1, 2, 3, 42]",0.7183963306808134,0.016071946222176406,0.025570466439482662,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8245567083882301,0.07251191288215907,0.11536645339551507,0.1784646458932175,0.016377443270261374,0.026056512242985847,0.31268142502719526,0.02724445021472516,0.04334592029162773,0.0005388350628714053,0.0010776701257428096,0.00171457317005681,0.2478961972533798,0.06526802798494452,0.10384143252404673,0.2628618893678161,0.015186126687893717,0.024161127560438905
intervene3d_no_hypothesis_conditioning,4,"[1, 2, 3, 42]",0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.3276511383731211,0.04605426490159887,0.0732723354584438,0.0,0.0,0.0,0.3862391746633739,0.023193373232265287,0.03690065681253407,0.7087512176944599,0.06437510632412621,0.1024207941616848,nan,nan,nan,0.6174059525572164,0.03476079658411024,0.055304427365319396,0.04999999999999999,5.665583147960493e-18,9.013942788405144e-18
intervene3d_noisy_encoder,4,"[1, 2, 3, 42]",0.5584369473916887,0.027786101827010617,0.04420768800677389,0.32411444518125554,0.05688250298538247,0.09050006224974351,0.9840909090909091,0.02611164839335469,0.04154363259382731,0.9907161803713528,0.01217679237259865,0.019373276664804453,0.021739130434782608,0.043478260869565216,0.06917391304347825,0.18527098336976222,0.014106713782274124,0.02244378162759813,0.33550112226653406,0.02371267695279476,0.03772686903189647,0.002474244047136319,0.002751938910965178,0.004378334807345599,0.2560246453618406,0.06172179102476921,0.09819936952040781,0.2655869391025641,0.0162059109985843,0.02578360439874762
max_baseline_intervention,4,"[1, 2, 3, 42]",0.5194320107574417,0.03883504604240143,0.06178655825346067,0.367606561302682,0.0481381775709112,0.07658784051531971,0.9701858400943069,0.011580550844135637,0.0184246563930198,0.9600445770704391,0.014450272829586266,0.022990384071871747,0.0,0.0,0.0,0.19744424235325853,0.027844220082321024,0.04430015415097275,0.3553688183729279,0.05600779792804074,0.08910840650351282,0.0024394721104148906,0.0018274738552309165,0.002907510903672388,0.3596356998146798,0.04584214962194038,0.07293486004850715,0.3,5.551115123125783e-17,8.83182416089312e-17
passive_multiview_classifier,4,"[1, 2, 3, 42]",0.6326448754789272,0.047166198282542725,0.07504142146752547,0.0,0.0,0.0,0.738435825808299,0.0874338983892382,0.13910733233727796,0.6723488616268789,0.0460542649015989,0.07327233545844385,0.8369142054604012,0.13061644447457516,0.20781076315904906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19999999999999996,2.2662332591841973e-17,3.605577115362058e-17
random_intervention,4,"[1, 2, 3, 42]",0.41576545461243736,0.050449426453109535,0.08026503748689727,0.42405503978779846,0.058876659900722765,0.09367276590204991,0.9275951737050135,0.015872712931451313,0.025253486273939037,0.9035960985853227,0.01573910568797752,0.025040917149572232,0.0,0.0,0.0,0.2283381416391097,0.028576820609079533,0.045465721589045535,0.4124744858445242,0.06099884947506933,0.0970491695148353,0.001220112282203074,0.002047303284455851,0.003257259525569259,0.5734871027072483,0.03320344789327344,0.05282668559819804,0.14574917315640484,0.014232042756259186,0.022643180025208366
single_frame_classifier,4,"[1, 2, 3, 42]",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.48659819977039653,0.07420607203126543,0.1180618606017433,0.6723488616268789,0.0460542649015989,0.07327233545844385,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
