method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
single_frame_classifier,96,0.3333333333333333,0.3333333333333333,0.0,0.4750402576489533,0.71875,0.0,nan,nan,nan,nan,0.0,0.25,0.34375,0.40625
passive_multiview_classifier,96,0.65625,0.65625,0.0,0.6951154052603328,0.71875,0.9259259259259259,nan,nan,nan,nan,0.19999999999999998,0.8125,0.84375,0.3125
random_intervention,96,0.375,0.6101694915254238,0.3854166666666667,0.927536231884058,0.8958333333333334,0.0,0.23583045935150707,0.4544344220789987,0.004569481742075303,0.5859899394858693,0.15340794891140663,0.40625,0.59375,0.125
max_baseline_intervention,96,0.5208333333333334,0.7692307692307693,0.3229166666666667,0.9710144927536232,0.9583333333333334,0.0,0.2086405067227629,0.3664810328571429,0.004669720311515488,0.42352489408661126,0.29999999999999993,0.59375,0.8125,0.15625
entropy_nbv,96,0.125,0.21052631578947367,0.40625,0.9130434782608695,0.875,0.0,0.3033594649573167,0.6308634334028282,0.025291360898486905,0.6979166666666662,0.08726646259971627,0.09375,0.21875,0.0625
intervene3d_no_hypothesis_conditioning,96,0.0,nan,1.0,0.5,0.28125,0.0,0.39710978158732946,0.711439489132375,nan,0.6559253501126653,0.049999999999999996,0.0,0.0,0.0
intervene3d_no_abstention,96,0.6979166666666666,0.6979166666666666,0.0,1.0,1.0,0.8888888888888888,0.18003195457623675,0.30761965020202797,0.0002816282600562191,0.3154502418014717,0.2765625,0.96875,0.84375,0.28125
intervene3d_noisy_encoder,96,0.5625,0.782608695652174,0.28125,1.0,1.0,0.0,0.18934945196159414,0.3366428609261549,0.0003805613039323297,0.31588623484331374,0.2776041666666666,0.5625,0.84375,0.28125
intervene3d,96,0.5625,0.782608695652174,0.28125,1.0,1.0,0.0,0.18003195457623675,0.30761965020202797,0.0002816282600562191,0.3154502418014717,0.2765625,0.5625,0.84375,0.28125
