method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
single_frame_classifier,90,0.3333333333333333,0.3333333333333333,0.0,0.39872408293460926,0.6333333333333333,0.0,nan,nan,nan,nan,0.0,0.5,0.13333333333333333,0.36666666666666664
passive_multiview_classifier,90,0.6444444444444445,0.6444444444444445,0.0,0.6560340244550771,0.6333333333333333,0.9393939393939394,nan,nan,nan,nan,0.19999999999999996,0.6666666666666666,0.7666666666666667,0.5
random_intervention,90,0.37777777777777777,0.7083333333333334,0.4666666666666667,0.9210526315789473,0.9,0.0,0.24368474867698028,0.47277569170043027,0.0006209312550549631,0.5777620049652602,0.12487736092549095,0.5,0.6,0.03333333333333333
max_baseline_intervention,90,0.5111111111111111,0.8363636363636363,0.3888888888888889,0.9824561403508771,0.9777777777777777,0.0,0.2057521388596136,0.3933607935835119,0.002213592690714959,0.3174343101264794,0.29999999999999993,0.5,0.7666666666666667,0.26666666666666666
entropy_nbv,90,0.35555555555555557,0.6956521739130435,0.4888888888888889,0.9035087719298246,0.8777777777777778,0.0,0.23944958804867303,0.46554075357780733,0.0010698045103671062,0.607407407407407,0.08726646259971627,0.5,0.5,0.06666666666666667
intervene3d_no_hypothesis_conditioning,90,0.0,nan,1.0,0.5,0.36666666666666664,0.0,0.4044427277054096,0.7909507557007427,nan,0.5769136523591638,0.04999999999999999,0.0,0.0,0.0
intervene3d_no_abstention,90,0.7333333333333333,0.7333333333333333,0.0,1.0,1.0,0.7272727272727273,0.18353201618831222,0.33515718097401914,0.0021553402514856196,0.17116703993457325,0.25333333333333335,1.0,0.7666666666666667,0.43333333333333335
intervene3d_noisy_encoder,90,0.5666666666666667,0.8947368421052632,0.36666666666666664,1.0,1.0,0.0,0.18908896783367962,0.35680729937720235,0.004166229810040363,0.17990646027877813,0.25333333333333335,0.5,0.7666666666666667,0.43333333333333335
intervene3d,90,0.5666666666666667,0.8947368421052632,0.36666666666666664,1.0,1.0,0.0,0.18353201618831222,0.33515718097401914,0.0021553402514856196,0.17116703993457325,0.25333333333333335,0.5,0.7666666666666667,0.43333333333333335
