method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
single_frame_classifier,87,0.3333333333333333,0.3333333333333333,0.0,0.49318181818181817,0.632183908045977,0.0,nan,nan,nan,nan,0.0,0.41379310344827586,0.1724137931034483,0.41379310344827586
passive_multiview_classifier,87,0.5632183908045977,0.5632183908045977,0.0,0.7448863636363636,0.632183908045977,0.65625,nan,nan,nan,nan,0.19999999999999996,0.6896551724137931,0.6896551724137931,0.3103448275862069
random_intervention,87,0.2413793103448276,0.4666666666666667,0.4827586206896552,0.9090909090909091,0.8850574712643678,0.0,0.30999650376466586,0.5606232720306593,0.05157194977850455,0.5264196546499984,0.14874518140800524,0.3448275862068966,0.3448275862068966,0.034482758620689655
max_baseline_intervention,87,0.4482758620689655,0.7959183673469388,0.4367816091954023,0.9454545454545454,0.9310344827586207,0.0,0.2308213186947019,0.4057610687416918,0.006242519586613413,0.33862958379454366,0.3,0.4827586206896552,0.6551724137931034,0.20689655172413793
entropy_nbv,87,0.14942528735632185,0.3023255813953488,0.5057471264367817,0.8909090909090909,0.8620689655172413,0.0,0.3025601322910392,0.5751775446703428,0.06102233544274391,0.6206896551724135,0.09460210182041572,0.27586206896551724,0.13793103448275862,0.034482758620689655
intervene3d_no_hypothesis_conditioning,87,0.0,nan,1.0,0.5,0.367816091954023,0.0,0.3909583256013048,0.6984437564193283,nan,0.6025869870585934,0.04999999999999999,0.0,0.0,0.0
intervene3d_no_abstention,87,0.6666666666666666,0.6666666666666666,0.0,0.9727272727272728,0.9655172413793104,0.8125,0.20685185299522207,0.3509793826382136,0.01501981426685212,0.21866998006720942,0.2465517241379311,1.0,0.6206896551724138,0.3793103448275862
intervene3d_noisy_encoder,87,0.4942528735632184,0.8269230769230769,0.40229885057471265,0.9727272727272728,0.9655172413793104,0.0,0.21294203567988015,0.3726423688961883,0.015102469444187914,0.23317543506360267,0.25000000000000006,0.4827586206896552,0.6206896551724138,0.3793103448275862
intervene3d,87,0.4942528735632184,0.8269230769230769,0.40229885057471265,0.9727272727272728,0.9655172413793104,0.0,0.20685185299522207,0.3509793826382136,0.01501981426685212,0.21866998006720942,0.2465517241379311,0.4827586206896552,0.6206896551724138,0.3793103448275862
