method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
passive_multiview_classifier,78,0.6666666666666666,0.6666666666666666,0.0,0.857707509881423,0.7051282051282052,0.8260869565217391,nan,nan,nan,nan,0.19999999999999993,0.9230769230769231,0.8461538461538461,0.23076923076923078
max_baseline_intervention,78,0.5641025641025641,0.8461538461538461,0.3333333333333333,0.9727272727272728,0.9615384615384616,0.0,0.15649326570136546,0.2731135253472243,0.003290023931149435,0.35895401125108495,0.30000000000000004,0.5769230769230769,0.8461538461538461,0.2692307692307692
intervene3d_sum,78,0.5897435897435898,0.8363636363636363,0.2948717948717949,1.0,1.0,0.0,0.15441476776550664,0.27321587882958603,1.2454424955730923e-18,0.2862975272102648,0.275,0.5769230769230769,0.8846153846153846,0.3076923076923077
intervene3d_maxmin,78,0.6153846153846154,1.0,0.38461538461538464,0.9363636363636364,0.9102564102564102,0.0,0.10766707809908276,0.1798742807941078,0.003290023931149435,0.24183596959722126,0.18269230769230776,0.5769230769230769,0.6923076923076923,0.5769230769230769
intervene3d_maxmin_forced,78,0.8205128205128205,0.8205128205128205,0.0,0.9363636363636364,0.9102564102564102,0.6086956521739131,0.10766707809908276,0.1798742807941078,0.003290023931149435,0.24183596959722126,0.18269230769230776,1.0,0.8846153846153846,0.5769230769230769
