method,n_runs,seeds,CEA_mean,CEA_std,CEA_ci95,abstain_mean,abstain_std,abstain_ci95,AUROC_mean,AUROC_std,AUROC_ci95,resolv.acc_mean,resolv.acc_std,resolv.acc_ci95,FPCR_mean,FPCR_std,FPCR_ci95,AbsRel_mean,AbsRel_std,AbsRel_ci95,RMSE_mean,RMSE_std,RMSE_ci95,MAE_MCRB_mean,MAE_MCRB_std,MAE_MCRB_ci95,regret_mean,regret_std,regret_ci95,motion_mean,motion_std,motion_ci95
entropy_nbv,3,"[1, 2, 3]",0.15443805874840358,0.032238074363028446,0.08009027990282844,0.46696200510855684,0.05324951376802769,0.13228980162853068,0.9024871136999284,0.011102504898160623,0.027582377126593248,0.8716155810983398,0.00838346074933447,0.020827351857547454,0.0,0.0,0.0,0.3194997040970134,0.028650744359071084,0.0711781389081338,0.6458370286268978,0.07921488331398362,0.19679656128477438,0.04115616243086251,0.01819845778516238,0.04521112400823133,0.6420045764154956,0.04887459364142114,0.12142102039964092,0.08971167567328275,0.004235233278748804,0.01052175185555658
intervene3d,3,"[1, 2, 3]",0.5337324393358875,0.035362096329315994,0.08785140703731681,0.3537755427841635,0.06399442569381562,0.1589837968708307,0.9879851143009039,0.013922571074563586,0.034588375278630366,0.9848020434227331,0.017600905940359002,0.04372660312873242,0.0,0.0,0.0,0.1906402394000525,0.014260950451883749,0.035429024094615374,0.33242931835823125,0.022347339433359883,0.05551834920865832,0.005818927592797986,0.008023087675471132,0.019932063260897973,0.2350957539344181,0.07353070869095135,0.18267514908599558,0.2588158524904215,0.015738652394398728,0.0391001354909184
intervene3d_no_abstention,3,"[1, 2, 3]",0.6956018518518517,0.02785002179517586,0.06918887324838258,0.0,0.0,0.0,0.9879851143009039,0.013922571074563586,0.034588375278630366,0.9848020434227331,0.017600905940359002,0.04372660312873242,0.809553872053872,0.08084834986746191,0.2008546446555981,0.1906402394000525,0.014260950451883749,0.035429024094615374,0.33242931835823125,0.022347339433359883,0.05551834920865832,0.005818927592797986,0.008023087675471132,0.019932063260897973,0.2350957539344181,0.07353070869095135,0.18267514908599558,0.2588158524904215,0.015738652394398728,0.0391001354909184
intervene3d_no_hypothesis_conditioning,3,"[1, 2, 3]",0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.33857758620689654,0.04965047230243303,0.12334856540221523,0.0,0.0,0.0,0.39750361163134795,0.0067508222909491164,0.016771325755003227,0.7336113337508153,0.05008072732450175,0.12441746439286337,nan,nan,nan,0.6118086631768075,0.04030498205302414,0.10013120690009904,0.04999999999999999,4.9065389333867974e-18,1.2189502142837001e-17
intervene3d_noisy_encoder,3,"[1, 2, 3]",0.5374361430395913,0.03755865278683828,0.09330839617147796,0.3537755427841635,0.06399442569381562,0.1589837968708307,0.9879851143009039,0.013922571074563586,0.034588375278630366,0.9848020434227331,0.017600905940359002,0.04372660312873242,0.0,0.0,0.0,0.19712681849171798,0.013696999088368926,0.03402797817459967,0.3553641763998485,0.018043089992208904,0.0448251378638542,0.006549753519386869,0.007644902470096895,0.01899252330536429,0.24298937672856483,0.06851904743141093,0.17022448753174735,0.2603125,0.015067484191500224,0.037432726680246185
max_baseline_intervention,3,"[1, 2, 3]",0.48970306513409967,0.03735862430275421,0.09281145776571498,0.386566091954023,0.058109024241583096,0.14436246917172998,0.9633844162448281,0.015584994326711591,0.038718396882346164,0.9520114942528736,0.01863833065308224,0.04630391698080923,0.0,0.0,0.0,0.21760331449853024,0.011686621725964892,0.029033520880031794,0.3938849406813434,0.02380261042551605,0.059133734537935946,0.005202300310850422,0.0009009426264565583,0.002238246190412868,0.3598629293358781,0.05614217864857694,0.13947615951515316,0.3,5.551115123125783e-17,1.3790847399180794e-16
passive_multiview_classifier,3,"[1, 2, 3]",0.6213042784163473,0.05064899347694325,0.12582922970787047,0.0,0.0,0.0,0.6986785977839244,0.04453321008210313,0.11063555534624206,0.6614224137931034,0.049650472302433045,0.12334856540221525,0.8405232884399552,0.1597273629377566,0.3968167906609374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19999999999999996,1.962615573354719e-17,4.8758008571348006e-17
random_intervention,3,"[1, 2, 3]",0.29805236270753516,0.06907905812571877,0.17161574349668576,0.44865102171136656,0.054819156710657,0.13618932556432917,0.9163026142431177,0.009858464296538636,0.024491759527278664,0.88992656449553,0.005462360188673582,0.013570350124343992,0.0,0.0,0.0,0.2707498128329864,0.037271905277696624,0.0925960183783759,0.5166217255973069,0.05538103722465697,0.13758522679377141,0.025907877077177965,0.02379793297507968,0.059122114169099335,0.5633905330337093,0.03228094039779842,0.08019677363084679,0.14234349708163427,0.015304730783858852,0.03802212745443715
single_frame_classifier,3,"[1, 2, 3]",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.45564871958846026,0.050125739378802346,0.12452928955919745,0.6614224137931034,0.049650472302433045,0.12334856540221525,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
