method,n,CEA,CEA_committed,abstention_rate,identifiability_auroc,resolvability_accuracy,FPCR,AbsRel_contact,RMSE_contact,MAE_MCRB,normalised_regret,motion_cost,CEA_direct,CEA_emissive,CEA_reflection
passive_multiview_classifier,87,0.5632183908045977,0.5632183908045977,0.0,0.7448863636363636,0.632183908045977,0.65625,nan,nan,nan,nan,0.19999999999999996,0.6896551724137931,0.6896551724137931,0.3103448275862069
max_baseline_intervention,87,0.47126436781609193,0.82,0.42528735632183906,0.9545454545454546,0.9425287356321839,0.0,0.2186192761254147,0.38802844534411696,2.5510639352600105e-19,0.33862958379454366,0.3,0.4827586206896552,0.6896551724137931,0.2413793103448276
intervene3d_sum,87,0.5287356321839081,0.8363636363636363,0.367816091954023,1.0,1.0,0.0,0.19115115118765436,0.3243199465671176,2.5510639352600105e-19,0.21866998006720942,0.2465517241379311,0.4827586206896552,0.6896551724137931,0.41379310344827586
intervene3d_maxmin,87,0.5057471264367817,1.0,0.4942528735632184,0.9,0.8735632183908046,0.0,0.17522507873972562,0.29298591410190017,2.710505431213761e-19,0.22365016753738587,0.14805631832068478,0.4827586206896552,0.5517241379310345,0.4827586206896552
intervene3d_maxmin_forced,87,0.7241379310344828,0.7241379310344828,0.0,0.9,0.8735632183908046,0.25,0.17522507873972562,0.29298591410190017,2.710505431213761e-19,0.22365016753738587,0.14805631832068478,1.0,0.6896551724137931,0.4827586206896552
