method,n_runs,seeds,CEA_mean,CEA_std,CEA_ci95,abstain_mean,abstain_std,abstain_ci95,AUROC_mean,AUROC_std,AUROC_ci95,resolv.acc_mean,resolv.acc_std,resolv.acc_ci95,FPCR_mean,FPCR_std,FPCR_ci95,AbsRel_mean,AbsRel_std,AbsRel_ci95,RMSE_mean,RMSE_std,RMSE_ci95,MAE_MCRB_mean,MAE_MCRB_std,MAE_MCRB_ci95,regret_mean,regret_std,regret_ci95,motion_mean,motion_std,motion_ci95
intervene3d_maxmin,4,"[1, 2, 3, 42]",0.5809773798997937,0.05413463901558566,0.08612821067379679,0.4190226201002063,0.05413463901558568,0.0861282106737968,0.9318216489841205,0.023333906213931815,0.037124244786365515,0.9086285182729148,0.028986567031594097,0.04611762814726621,0.0,0.0,0.0,0.14403234096561976,0.030444726673237065,0.04843756013712017,0.24886304492149947,0.057387434087333655,0.09130340763294785,0.002411483480021502,0.0017909059503877006,0.0028493313670668314,0.23449386262806632,0.019480991266260284,0.030994257104620112,0.1676444449813687,0.014968443825561055,0.02381479412646764
intervene3d_maxmin_forced,4,"[1, 2, 3, 42]",0.7809543545534925,0.044692445231585845,0.07110568036345308,0.0,0.0,0.0,0.9318216489841205,0.023333906213931815,0.037124244786365515,0.9086285182729148,0.028986567031594097,0.04611762814726621,0.49918569755526276,0.16827714872903712,0.26772894362789806,0.14403234096561976,0.030444726673237065,0.04843756013712017,0.24886304492149947,0.057387434087333655,0.09130340763294785,0.002411483480021502,0.0017909059503877006,0.0028493313670668314,0.23449386262806632,0.019480991266260284,0.030994257104620112,0.1676444449813687,0.014968443825561055,0.02381479412646764
intervene3d_sum,4,"[1, 2, 3, 42]",0.5645156388152078,0.025767308566990072,0.040995787930081205,0.32765113837312115,0.04605426490159887,0.0732723354584438,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1784646458932175,0.016377443270261374,0.026056512242985847,0.3126814250271952,0.02724445021472516,0.04334592029162773,0.0005388350628714053,0.0010776701257428096,0.00171457317005681,0.24789619725337977,0.06526802798494452,0.10384143252404673,0.2628618893678161,0.015186126687893717,0.024161127560438905
max_baseline_intervention,4,"[1, 2, 3, 42]",0.5194320107574417,0.03883504604240143,0.06178655825346067,0.367606561302682,0.04813817757091119,0.07658784051531971,0.9701858400943069,0.011580550844135635,0.018424656393019795,0.9600445770704391,0.014450272829586268,0.02299038407187175,0.0,0.0,0.0,0.19744424235325853,0.027844220082321024,0.04430015415097275,0.3553688183729279,0.05600779792804074,0.08910840650351282,0.0024394721104148906,0.0018274738552309165,0.002907510903672388,0.3596356998146798,0.04584214962194038,0.07293486004850715,0.3,5.551115123125783e-17,8.83182416089312e-17
passive_multiview_classifier,4,"[1, 2, 3, 42]",0.6326448754789271,0.04716619828254272,0.07504142146752546,0.0,0.0,0.0,0.738435825808299,0.0874338983892382,0.13910733233727796,0.6723488616268789,0.0460542649015989,0.07327233545844385,0.8369142054604012,0.13061644447457516,0.20781076315904906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19999999999999996,2.2662332591841973e-17,3.605577115362058e-17
